Nom du cas d’usage,Département,Niveau de signature recommandé,Justification légale/réglementaire,Risques de non-conformité,Exemples de documents,Comparaison avec signature simple,Spécificités internationales
Contrats de travail,RH,Qualifiée (principaux) ; Avancée (modifications mineures),Art. L.1221-4 Code du travail ; eIDAS Art. 25.2 (présomption de validité),Nullité du contrat ; sanctions prud’homales (jusqu’à 6 mois de salaire),"CDI, CDD, avenants salariaux",Signature simple : pas d’inversion de la charge de la preuve en litige,"Reconnaissance SEQ dans l’UE ; hors UE, SEQ exigée pour expatriés (ex. : USA, notarisation possible)"
Accords de confidentialité,Juridique,Avancée (standard) ; Qualifiée (secrets critiques),RGPD Art. 32 (sécurité) ; Directive UE 2016/943 (secrets commerciaux),Amendes RGPD (4% CA annuel) ; perte de propriété intellectuelle,NDA partenaires technologiques,Simple : aucune détection d’altération post-signature,SEQ pour accords avec USA (SOX Act) ou données sensibles ; avancée suffisante sinon
Transactions financières,Finance,Qualifiée (>50k€) ; Avancée (<50k€),Directive PSD2 (2015/2366) Art. 4 ; eIDAS Art. 26 (non-répudiation),Irrecevabilité comptable ; rejet audits fiscaux (amendes jusqu’à 375k€),"Mandats SEPA, factures électroniques",Simple : interdite pour paiements >50k€ (risque fraude),SEQ obligatoire pour virements transfrontaliers (CBPR+) ; avancée reconnue dans l’UE
Contrats de sous-traitance,Achats,Qualifiée,Loi Sapin II Art. 17 ; RGPD Art. 28 (sous-traitance données) ; Décret 2022-448,Responsabilité pénale dirigeants ; exclusion appels d’offres,"Contrats SLA, engagements de service",Simple : clauses de pénalité non opposables,Double SEQ (siège + filiale) pour groupes internationaux ; RGPD exige SEQ hors UE
Licences logicielles,R&D,Avancée (standard) ; Qualifiée (exclusives),Directive 2009/24/CE (protection logiciels) ; eIDAS Art. 25,Contrefaçon (amendes 300% dommages) ; perte de revenus licence,"EULA, accords partenariat technique",Simple : pas d’intégrité cryptographique des clauses,"Horodatage qualifié pour marchés asiatiques (ex. : Japon, normes JIS)"
Appels d’offres publics,Commercial,Qualifiée,Code de la commande publique Art. R2191-1 ; eIDAS Art. 25,Déchéance offre ; exclusion temporaire marchés publics,"Réponses consultations, DPGF",SEA irrecevables dans 78% des appels d’offres européens,"SEQ reconnue dans l’UE ; hors UE, légalisation consulaire souvent requise"
Documents réglementaires,Compliance,Qualifiée (soumis régulateurs) ; Avancée (internes),Règlement DORA (2025) ; ETSI EN 319 411-1 (certificats qualifiés),Amendes jusqu’à 10M€ ; suspension agrément,"Rapports ANSSI, audits sécurité",SEQ : non-répudiation exigée par régulateurs,"Certificats SEQ alignés ETSI pour UE ; hors UE, normes locales à vérifier (ex. : NIST USA)"
Contrats internationaux,Business Development,Qualifiée,Convention de Vienne (1980) Art. 11 ; Règlement Rome I (2008),Conflits de loi ; nullité clauses arbitrage,"Joint-ventures, accords distribution",SEA rarement suffisante pour tribunaux étrangers,"QSCD exigé hors UE ; vérification reconnaissance (ex. : USA, notarisation)"
Documents RH sensibles,RH,Qualifiée,CNIL délibération 2023-098 (données salariales) ; RGPD Art. 9 (données sensibles),Sanctions CNIL (jusqu’à 3M€) ; litiges employés,"Enquêtes internes, accords de rupture",SEQ : prévient contestation authenticité consentements,Archivage qualifié pour filiales suisses (LPD révisée) ; SEQ pour données transfrontalières
Actes de propriété intellectuelle,R&D,Qualifiée,Code propriété intellectuelle Art. L113-9 ; eIDAS Art. 25,Perte droits d’auteur ; contestation brevets,"Cessions droits, dépôts INPI",SEQ + horodatage : date certaine de création fixée,Validation SEQ via WIPO Proof (193 États) ; horodatage reconnu internationalement
Transactions blockchain,Innovation,Avancée (standard) ; Qualifiée (actifs critiques),Ordonnance 2024-387 (actifs numériques) ; eIDAS Art. 25,Irréversibilité smart contracts défectueux ; fraude,"Contrats DAO, tokens sécurisés",SEA : audit trail via metadata blockchain,Interopérabilité ERC-725/1056 ; SEQ pour actifs hors UE (ex. : SEC compliance USA)
Souscriptions d’assurance,Administratif,Qualifiée (épargne) ; Avancée (standard),Code des assurances Art. L112-4 ; Directive Insurance Distribution (2016/97),Résiliation rétroactive ; refus couverture,"Polices responsabilité civile, épargne-retraite",SEQ obligatoire pour épargne-retraite (opposabilité),Reconnaissance limitée en Amérique latine (notarisation parallèle souvent exigée)
Conventions de gouvernance,Direction Générale,Qualifiée,Loi Pacte Art. 1833 Code civil ; eIDAS Art. 25 (présomption intégrité),Nullité décisions AG ; responsabilité dirigeants,"PV d’AG, pactes actionnaires",SEA : pas de présomption intégrité sur 10 ans,Double scellement pour filiales USA (Delaware Law) ; SEQ reconnue dans l’UE
Documentation projet,Management de projet,Avancée (standard) ; Qualifiée (critiques),Norme ISO 21502:2020 ; eIDAS Art. 26 (intégrité),Litiges clients ; dépassements budgétaires non couverts,"Cahiers des charges, rapports avancement",SEA : journalisation via RFC 3161,Harmonisation eIDAS pour UE ; FedRAMP (USA) exige SEQ pour projets critiques
